2019S,"BIA 600JP",W,0515PM,0800PM,JP,OFF,CLOSED,LEC
2019S,"CE  960D",TBA,,,,N/A,N/A,LEC
2019S,"CH  115A",MWF,1000AM,1050AM,,E,229,LEC
2019S,"CH  116A",MWF,0900AM,0950AM,,E,230,LEC
2019S,"CH  116B",MWF,1000AM,1050AM,,E,230,LEC
2019S,"CH  116C",MWF,1000AM,1050AM,,K,360,LEC
2019S,"CH  116D",MWF,1100AM,1150AM,,C,316,LEC
2019S,"CH  116E",MF,1100AM,1150AM,,BC,321,LEC
2019S,"CH  116E",W,1100AM,1150AM,,X,414,LEC
2019S,"CH  116F",MWF,1200PM,1250PM,,P,120,LEC
2019S,"CH  116G",MWF,0100PM,0150PM,,NB,105,LEC
2019S,"CH  116H",MWF,0200PM,0250PM,,B,118,LEC
2019S,"CH  116S",MWF,0100PM,0150PM,,BC,204,LEC
2019S,"CH  118A",R,0800AM,1050AM,,X,203,LAB
2019S,"CH  118B",M,0200PM,0450PM,,X,203,LAB
2019S,"CH  118C",T,0800AM,1050AM,,X,203,LAB
2019S,"CH  118D",T,1100AM,0150PM,,X,203,LAB
2019S,"CH  118E",W,0800AM,1050AM,,X,203,LAB
2019S,"CH  118F",R,1100AM,0150PM,,X,203,LAB
2019S,"CH  118G",R,0200PM,0450PM,,X,203,LAB
2019S,"CH  118H",F,0200PM,0450PM,,X,203,LAB
2019S,"CH  244A",T,1100AM,1150AM,,E,230,LEC
2019S,"CH  244A",R,1230PM,0120PM,,E,230,LEC
2019S,"CH  244RA",W,0900AM,0950AM,,X,218B,RCT
2019S,"CH  244RB",W,1100AM,1150AM,,E,330,RCT
2019S,"CH  246A",M,0200PM,0550PM,,X,219,LAB
2019S,"CH  246B",R,0200PM,0550PM,,X,219,LAB
2019S,"CH  301A",F,1100AM,1150AM,,X,105,LEC
2019S,"CH  321A",MW,0100PM,0150PM,,BC,210,LEC
2019S,"CH  321A",F,0100PM,0150PM,,X,119,LEC
2019S,"CH  322EV",T,0630PM,0900PM,,X,104,LEC
2019S,"CH  412A",R,1100AM,0150PM,,BC,312,LEC
2019S,"CH  412LA",F,0200PM,0550PM,,X,522,LAB
2019S,"CH  461A",MWF,0900AM,0950AM,,X,119,LEC
2019S,"CH  461LA",M,0100PM,0450PM,,X,429,LAB
2019S,"CH  461LB",T,0100PM,0450PM,,X,429,LAB
2019S,"CH  496A",M,0400PM,0450PM,,X,119,L/L
2019S,"CH  497A",M,0400PM,0450PM,,X,119,L/L
2019S,"CH  498A",M,0400PM,0450PM,,X,119,LAB
2019S,"CH  499A",M,0400PM,0450PM,,X,119,LAB
2019S,"CH  501A",F,1100AM,1150AM,,X,105,LEC
2019S,"CH  520A",T,0630PM,0900PM,,X,104,LEC
2019S,"CH  525A",T,0330PM,0445PM,,X,120,LEC
2019S,"CH  525A",R,0330PM,0445PM,,X,120,LEC
2019S,"CH  561A",T,0630PM,0900PM,,,,LAB
2019S,"CH  581A",M,0615PM,0845PM,,X,218A,LEC
2019S,"CH  581A-U",M,0615PM,0845PM,,X,218A,LEC
2019S,"CH  582A",R,0630PM,0900PM,,BC,212,LEC
2019S,"CH  610A",M,0300PM,0530PM,,BC,212,LEC
2019S,"CH  620A",W,0630PM,0900PM,,E,130,LEC
2019S,"CH  642A",R,0330PM,0600PM,,BC,212,LEC
2019S,"CH  660A",R,0630PM,0900PM,,X,429,LEC
2019S,"CH  664WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CH  685A",T,0925AM,1155AM,,P,220,LEC
